"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PNB","EQ","06-Jan-2023","         56.75","         57.00","         57.60","         56.00","         56.35","         56.40","         56.60","   88223106","          4993632539.60","      90549","   11424861","         12.95"
"PNB","EQ","09-Jan-2023","         56.40","         57.00","         57.75","         56.75","         57.05","         57.10","         57.17","   56732510","          3243482542.90","      87589","   10290825","         18.14"
"PNB","EQ","10-Jan-2023","         57.10","         56.90","         56.95","         54.65","         55.00","         55.10","         55.49","   82014187","          4551223965.05","      96526","   15167290","         18.49"
"PNB","EQ","11-Jan-2023","         55.10","         55.30","         56.60","         54.60","         56.30","         56.40","         55.78","   75395366","          4205372997.25","      85705","   10460076","         13.87"
"PNB","EQ","12-Jan-2023","         56.40","         56.40","         56.50","         55.30","         55.90","         55.85","         55.83","   58123134","          3245264898.10","      69799","    5747594","          9.89"
"PNB","EQ","13-Jan-2023","         55.85","         56.00","         57.40","         55.70","         56.70","         56.80","         56.62","   98864358","          5598029301.70","     110636","   10789327","         10.91"
"PNB","EQ","16-Jan-2023","         56.80","         56.95","         59.45","         56.80","         58.90","         58.90","         58.41","  166603280","          9731788095.00","     210505","   31432078","         18.87"
"PNB","EQ","17-Jan-2023","         58.90","         59.20","         59.45","         56.75","         57.90","         57.75","         58.16","  116738590","          6789586241.80","     139153","   20502440","         17.56"
"PNB","EQ","18-Jan-2023","         57.75","         57.85","         58.00","         56.45","         56.90","         56.75","         57.18","   68557704","          3920380781.75","      99484","   11207703","         16.35"
"PNB","EQ","19-Jan-2023","         56.75","         56.70","         57.35","         56.20","         57.15","         57.20","         56.85","   59090340","          3359550761.85","      84956","    7824217","         13.24"
"PNB","EQ","20-Jan-2023","         57.20","         57.45","         58.10","         56.75","         56.90","         56.95","         57.57","   60893155","          3505892887.40","      97652","    7820755","         12.84"
"PNB","EQ","23-Jan-2023","         56.95","         57.25","         57.50","         56.60","         56.75","         56.80","         56.97","   48030932","          2736131582.70","      73146","    6734182","         14.02"
"PNB","EQ","24-Jan-2023","         56.80","         57.00","         57.35","         55.30","         55.40","         55.50","         56.09","   51548951","          2891366757.65","      70443","   11864707","         23.02"
"PNB","EQ","25-Jan-2023","         55.50","         55.45","         55.55","         53.15","         53.85","         53.70","         54.08","   83514024","          4516803117.00","     114624","   16866286","         20.20"
"PNB","EQ","27-Jan-2023","         53.70","         53.75","         54.35","         50.05","         51.10","         50.80","         51.60","  111244364","          5740745774.15","     148097","   24418287","         21.95"
"PNB","EQ","30-Jan-2023","         50.80","         51.10","         53.25","         49.10","         51.00","         50.70","         51.11","  148179904","          7573864004.60","     168816","   21489241","         14.50"
"PNB","EQ","31-Jan-2023","         50.70","         51.00","         54.00","         50.55","         53.75","         53.55","         52.57","  114490184","          6018629161.50","     134750","   17565104","         15.34"
